Count,Artist,Year,streams,Song,released_month,released_day,in_spotify_playlists,in_spotify_charts,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
2,"Latto, Jung Kook",2023,141381703,Seven (feat. Latto) (Explicit Ver.),7,14,553,147,43,263,45,10,826,125,B,Major,80,89,83,31,0,8,4
1,Myke Towers,2023,133716286,LALA,3,23,1474,48,48,126,58,14,382,92,C#,Major,71,61,74,7,0,10,4
1,Olivia Rodrigo,2023,140003974,vampire,6,30,1397,113,94,207,91,14,949,138,F,Major,51,32,53,17,0,31,6
1,Taylor Swift,2019,800840817,Cruel Summer,8,23,7858,100,116,207,125,12,548,170,A,Major,55,58,72,11,0,11,15
1,Bad Bunny,2023,303236322,WHERE SHE GOES,5,18,3133,50,84,133,87,15,425,144,A,Minor,65,23,80,14,63,11,6
2,"Dave, Central Cee",2023,183706234,Sprinter,6,1,2186,91,67,213,88,17,946,141,C#,Major,92,66,58,19,0,8,24
2,"Eslabon Armado, Peso Pluma",2023,725980112,Ella Baila Sola,3,16,3090,50,34,222,43,13,418,148,F,Minor,67,83,76,48,0,8,3
1,Quevedo,2023,58149378,Columbia,7,7,714,43,25,89,30,13,194,100,F,Major,67,26,71,37,0,11,4
1,Gunna,2023,95217315,fukumean,5,15,1096,83,60,210,48,11,953,130,C#,Minor,85,22,62,12,0,28,9
2,"Peso Pluma, Yng Lvcas",2023,553634067,La Bebe - Remix,3,17,2953,44,49,110,66,13,339,170,D,Minor,81,56,48,21,0,8,33
2,"Bad Bunny, Grupo Frontera",2023,505671438,un x100to,4,17,2876,40,41,205,54,12,251,83,F#,Minor,57,56,72,23,0,27,5
1,NewJeans,2023,58255150,Super Shy,7,7,422,55,37,202,21,5,168,150,F,Minor,78,52,82,18,0,15,7
1,Miley Cyrus,2023,1316855716,Flowers,1,12,12211,115,300,215,745,58,1021,118,NA,Major,71,65,68,6,0,3,7
1,David Kushner,2023,387570742,Daylight,4,14,3528,98,80,156,182,24,1281,130,D,Minor,51,32,43,83,0,9,3
1,Harry Styles,2022,2513188493,As It Was,3,31,23575,130,403,198,863,46,NA,174,F#,Minor,52,66,73,34,0,31,6
1,SZA,2022,1163093654,Kill Bill,12,8,8109,77,183,162,161,12,187,89,G#,Major,64,43,73,5,17,16,4
1,Fifty Fifty,2023,496795686,Cupid - Twin Ver.,2,24,2942,77,91,212,78,6,0,120,B,Minor,78,76,59,43,0,34,3
1,Billie Eilish,2023,30546883,"What Was I Made For? [From The Motion Picture ""Barbie""]",7,13,873,104,80,227,95,24,1173,78,NA,Major,44,14,9,96,0,10,3
2,"Feid, Young Miko",2023,335222234,Classy 101,3,31,2610,40,43,100,54,14,187,100,B,Major,86,67,66,14,0,12,16
1,Jimin,2023,363369738,Like Crazy,3,24,596,68,8,104,23,2,29,120,G,Major,63,36,73,0,0,36,4
3,"Gabito Ballesteros, Junior H, Peso Pluma",2023,86444842,LADY GAGA,6,22,332,26,11,163,10,4,0,140,F,Minor,65,87,74,22,0,42,4
1,Taylor Swift,2023,52135248,I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The,7,7,516,38,73,119,42,1,150,123,F#,Major,69,82,76,6,0,6,3
1,Arctic Monkeys,2013,1297026226,I Wanna Be Yours,1,1,12859,110,24,98,582,2,73,135,NA,Minor,48,44,42,12,2,11,3
2,"Bizarrap, Peso Pluma",2023,200647221,"Peso Pluma: Bzrp Music Sessions, Vol. 55",5,31,1313,40,17,152,32,11,139,133,F,Minor,85,81,67,26,0,12,5
3,"The Weeknd, Madonna, Playboi Carti",2023,115364561,Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),6,2,1945,87,74,182,87,14,1093,99,C#,Major,85,83,68,7,0,36,20
1,Fuerza Regida,2023,78300654,SABOR FRESA,6,22,250,26,16,149,10,5,168,130,G,Minor,79,96,86,9,0,9,9
2,"Rï¿½ï¿½ma, Selena G",2022,899183384,Calm Down (with Selena Gomez),3,25,7112,77,202,119,318,38,96,107,B,Major,80,82,80,43,0,14,4
2,"Tainy, Bad Bunny",2023,61245289,MOJABI GHOST,6,29,859,40,35,109,41,14,211,122,F#,Minor,81,74,71,14,0,56,4
1,Morgan Wallen,2023,429829812,Last Night,1,31,2420,19,52,107,15,1,325,204,F#,Major,52,52,68,46,0,15,4
1,Dua Lipa,2023,127408954,Dance The Night (From Barbie The Album),5,25,2988,101,0,0,143,38,0,110,B,Minor,67,78,85,2,0,33,5
1,Troye Sivan,2023,22581161,Rush,7,13,864,78,71,135,50,1,294,126,F,Minor,74,35,84,0,0,11,6
2,"Peso Pluma, Grupo Frontera",2023,52294266,TULUM,6,28,266,34,20,185,13,8,197,168,F#,Major,56,63,87,39,0,11,5
3,"The Weeknd, 21 Savage, Metro Boomin",2022,843957510,Creepin',12,2,6036,88,113,149,245,23,27,98,C#,Minor,71,17,61,36,0,8,5
1,Taylor Swift,2022,999748277,Anti-Hero,10,21,9082,56,242,142,165,9,310,97,E,Major,64,51,63,12,0,19,5
2,"Karol G, Shakira",2023,618990393,TQG,2,23,4284,49,115,123,184,18,354,180,E,Minor,72,61,63,67,0,9,28
8,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",2023,123122413,Los del Espacio,6,1,1150,31,22,33,34,7,184,120,NA,Major,81,63,68,11,0,11,4
2,"Yahritza Y Su Esencia, Grupo Frontera",2023,188933502,Frï¿½ï¿½gil (feat. Grupo Front,4,7,672,34,19,108,24,9,212,150,F#,Major,61,39,73,37,0,11,3
1,Taylor Swift,2014,1355959075,Blank Space,1,1,11434,53,154,123,410,2,81,96,F,Major,75,57,68,9,0,13,6
1,Taylor Swift,2014,786181836,Style,1,1,7830,42,94,111,151,4,82,95,D,Major,60,48,79,0,0,12,4
1,Fuerza Regida,2023,176553476,TQM,5,19,584,28,16,159,15,6,100,125,F,Minor,79,96,85,27,0,11,6
2,"Junior H, Peso Pluma",2023,354495408,El Azul,2,10,692,25,10,107,6,3,62,144,A,Minor,56,84,65,23,0,10,6
2,"Post Malone, Swae Lee",2018,2808096550,Sunflower - Spider-Man: Into the Spider-Verse,10,9,24094,78,372,117,843,4,69,90,D,Major,76,91,50,54,0,7,5
2,"Bebe Rexha, David Guetta",2022,1109433169,I'm Good (Blue),8,26,12482,80,291,184,537,45,727,128,G,Minor,56,38,97,4,0,35,4
3,"Tyler, The Creator, Kali Uchis",2017,1047101291,See You Again,7,21,13387,64,77,58,247,1,311,79,F#,Major,56,58,56,37,0,11,10
3,"Nicki Minaj, Aqua, Ice Spice",2023,65156199,Barbie World (with Aqua) [From Barbie The Album],6,23,1117,80,82,145,65,16,1133,144,NA,Major,77,75,58,52,0,23,25
1,Miley Cyrus,2020,570515054,Angels Like You,11,27,3372,19,65,48,138,1,102,122,F,Major,67,49,64,10,0,10,3
1,OneRepublic,2022,1085685420,I Ain't Worried,5,13,8431,76,241,127,458,37,332,140,NA,Major,71,82,81,11,0,6,5
1,The Weeknd,2016,1647990401,Die For You,11,24,2483,59,68,21,24,0,259,134,C#,Minor,59,51,52,9,0,15,7
2,"The Weeknd, Daft Punk",2016,2565529693,Starboy,9,21,29536,79,281,137,2445,1,140,186,G,Major,68,49,59,16,0,13,28
2,"Ariana Grande, The Weeknd",2023,518745108,Die For You - Remix,2,24,3408,47,87,86,74,1,16,67,C#,Minor,53,50,53,23,0,44,7
3,"Feid, Myke Towers, Sky Rompiendo",2023,107753850,El Cielo,6,2,1298,38,44,64,57,10,110,106,A#,Minor,72,17,64,7,0,10,5
3,"David Guetta, Anne-Marie, Coi Leray",2023,177740666,Baby Don't Hurt Me,4,6,4277,66,145,111,213,11,810,128,G,Major,60,23,91,0,0,12,3
1,Karol G,2023,153372011,AMARGURA,2,24,1133,39,14,71,23,10,176,107,F#,Minor,92,55,70,18,0,15,7
1,Peggy Gou,2023,57876440,(It Goes Like) Nanana - Edit,6,15,2259,59,0,0,109,17,0,130,G,Minor,67,96,88,12,19,8,4
